2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
91,JQ-INDEX,JQ,指数,94.21,94.27,92.01,92.92,-,-
92,JQ-スタンダード,JQ,指数,195.35,195.46,190.74,192.56,-,-
93,JQ-グロース,JQ,指数,397.43,404.63,389.76,396.61,-,-
94,マザーズCore指数,東証,指数,1686.61,1688.33,1608.93,1621.42,-,-
95,日経JQ平均,JQ,指数,1876.93,1877.53,1856.11,1859.04,-,-
101-1309,日経225先物 2013年09月限,大証日中,先物,14920,14970,14410,14650,113223,1658318520
101-1309,日経225先物 2013年09月限,大証夜間,先物,14690,14800,14680,14750,13052,192403610
101-1312,日経225先物 2013年12月限,大証日中,先物,14870,14900,14350,14600,1163,16990180
101-1312,日経225先物 2013年12月限,大証夜間,先物,14640,14740,14620,14690,107,1570530
101-1403,日経225先物 2014年03月限,大証日中,先物,14870,14870,14370,14600,26,381850
101-1403,日経225先物 2014年03月限,大証夜間,先物,14640,14730,14620,14730,10,146680
101-1406,日経225先物 2014年06月限,大証日中,先物,14790,14790,14290,14350,29,423410
101-1406,日経225先物 2014年06月限,大証夜間,先物,14550,14650,14550,14620,16,233520
101-1409,日経225先物 2014年09月限,大証日中,先物,14790,14810,14310,14470,71,1030750
101-1409,日経225先物 2014年09月限,大証夜間,先物,14550,14630,14550,14630,5,72960
101-1412,日経225先物 2014年12月限,大証日中,先物,14300,14300,14300,14300,1,14300
101-1412,日経225先物 2014年12月限,大証夜間,先物,-,-,-,-,0,0
101-1506,日経225先物 2015年06月限,大証日中,先物,-,-,-,-,0,0
101-1506,日経225先物 2015年06月限,大証夜間,先物,-,-,-,-,0,0
101-1512,日経225先物 2015年12月限,大証日中,先物,-,-,-,-,0,0
101-1512,日経225先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0
101-1606,日経225先物 2016年06月限,大証日中,先物,-,-,-,-,0,0
101-1606,日経225先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
101-1612,日経225先物 2016年12月限,大証日中,先物,-,-,-,-,0,0
101-1612,日経225先物 2016年12月限,大証夜間,先物,-,-,-,-,0,0
101-1706,日経225先物 2017年06月限,大証日中,先物,-,-,-,-,0,0
101-1706,日経225先物 2017年06月限,大証夜間,先物,-,-,-,-,0,0
101-1712,日経225先物 2017年12月限,大証日中,先物,-,-,-,-,0,0
101-1712,日経225先物 2017年12月限,大証夜間,先物,-,-,-,-,0,0
101-1806,日経225先物 2018年06月限,大証日中,先物,-,-,-,-,0,0
101-1806,日経225先物 2018年06月限,大証夜間,先物,-,-,-,-,0,0
102-1308,225mini先物 2013年08月限,大証日中,先物,14925,14970,14410,14660,91851,1344991355
102-1308,225mini先物 2013年08月限,大証夜間,先物,14695,14820,14680,14770,15361,226475620
102-1309,225mini先物 2013年09月限,大証日中,先物,14925,14965,14405,14655,931325,13653071433
102-1309,225mini先物 2013年09月限,大証夜間,先物,14685,14800,14680,14765,176224,2597896002
102-1310,225mini先物 2013年10月限,大証日中,先物,14860,14895,14340,14575,2176,31775490
102-1310,225mini先物 2013年10月限,大証夜間,先物,14615,14750,14615,14690,361,5297205
102-1311,225mini先物 2013年11月限,大証日中,先物,14850,14905,14425,14530,104,1524470
102-1311,225mini先物 2013年11月限,大証夜間,先物,14850,14850,14605,14690,46,676120
102-1312,225mini先物 2013年12月限,大証日中,先物,14870,14910,14355,14600,7511,109818825
102-1312,225mini先物 2013年12月限,大証夜間,先物,14635,14750,14620,14715,2045,30034545
102-1403,225mini先物 2014年03月限,大証日中,先物,14890,14975,14435,14435,132,1938055
102-1403,225mini先物 2014年03月限,大証夜間,先物,14620,14720,14605,14715,29,425555
102-1406,225mini先物 2014年06月限,大証日中,先物,14700,14700,14395,14395,5,72890
102-1406,225mini先物 2014年06月限,大証夜間,先物,14765,14765,14760,14760,2,29525
102-1409,225mini先物 2014年09月限,大証日中,先物,14475,14475,14475,14475,2,28950
102-1409,225mini先物 2014年09月限,大証夜間,先物,14545,14545,14545,14545,2,29090
102-1412,225mini先物 2014年12月限,大証日中,先物,14375,14375,14375,14375,1,14375
102-1412,225mini先物 2014年12月限,大証夜間,先物,-,-,-,-,0,0
102-1506,225mini先物 2015年06月限,大証日中,先物,14600,14600,14240,14240,12,174730
102-1506,225mini先物 2015年06月限,大証夜間,先物,14565,14565,14400,14440,17,246565
102-1512,225mini先物 2015年12月限,大証日中,先物,-,-,-,-,0,0
102-1512,225mini先物 2015年12月限,大証夜間,先物,14390,14390,14390,14390,1,14390
102-1606,225mini先物 2016年06月限,大証日中,先物,-,-,-,-,0,0
102-1606,225mini先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
102-1612,225mini先物 2016年12月限,大証日中,先物,-,-,-,-,0,0
102-1612,225mini先物 2016年12月限,大証夜間,先物,-,-,-,-,0,0
102-1706,225mini先物 2017年06月限,大証日中,先物,-,-,-,-,0,0
102-1706,225mini先物 2017年06月限,大証夜間,先物,-,-,-,-,0,0
102-1712,225mini先物 2017年12月限,大証日中,先物,-,-,-,-,0,0
102-1712,225mini先物 2017年12月限,大証夜間,先物,-,-,-,-,0,0
102-1806,225mini先物 2018年06月限,大証日中,先物,14195,14195,13990,14000,17,239515
102-1806,225mini先物 2018年06月限,大証夜間,先物,-,-,-,-,0,0
104-1309,TOPIX先物 2013年09月限,東証日中,先物,1231.5,1234.0,1199.0,1216.5,73287,89039312.0
104-1309,TOPIX先物 2013年09月限,東証夜間,先物,1219.5,1228.0,1218.5,1220.5,5331,6513612.5
