2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
2666-T,オートウェーブ,東証JQスタンダード,小売業,104,104,101,101,59500,6071100
2667-T,イメージワン,東証JQスタンダード,卸売業,71500,74100,70600,72800,1387,99526900
2668-T,タビオ,東証2部,卸売業,865,868,865,866,1900,1645800
2669-T,カネ美食品,東証JQスタンダード,小売業,2990,2990,2963,2963,600,1790300
2670-T,ABCマート,東証1部,小売業,4465,4540,4350,4490,354300,1591098500
2673-T,夢隊,東証JQスタンダード,小売業,105,105,99,99,234300,23714200
2674-T,ハードオフ,東証1部,小売業,730,734,712,720,47200,34202300
2675-T,ダイナック,東証2部,小売業,1171,1178,1166,1167,2900,3391600
2676-T,高千穂交,東証1部,卸売業,908,908,901,906,6700,6064900
2678-T,アスクル,東証1部,小売業,1900,1925,1869,1879,267600,506891500
2681-T,ゲオHD,東証1部,小売業,92100,92700,90800,91000,2338,213885600
2683-T,魚喜,東証2部,小売業,80,81,78,79,29000,2307000
2684-T,ジパング,東証JQスタンダード,鉱業,252,330,252,285,535889,153478076
2685-T,ポイント,東証1部,小売業,5100,5100,5000,5050,73010,368125300
2687-T,シーヴイエス,東証1部,小売業,96,96,94,95,299000,28454000
2689-T,カワニシHD,東証2部,卸売業,1308,1308,1278,1290,1800,2320500
2692-T,伊藤忠食,東証1部,卸売業,3450,3450,3380,3390,4600,15655000
2693-T,YKT,東証JQスタンダード,卸売業,157,160,156,159,12400,1960200
2694-T,Gテイスト,東証JQスタンダード,小売業,72,72,70,71,288000,20323200
2695-T,くらコーポ,東証1部,小売業,1709,1718,1699,1703,71400,122008200
2698-T,キャンドゥ,東証1部,小売業,1552,1554,1515,1525,79500,121603200
2700-T,木徳神糧,東証JQスタンダード,卸売業,601,603,592,603,12000,7200000
2702-T,マクドナルド,東証JQスタンダード,小売業,2790,2791,2777,2786,76900,214171100
2703-T,日本ライトン,東証JQスタンダード,卸売業,152,152,147,151,6300,935300
2705-T,大戸屋HD,東証JQスタンダード,小売業,1088,1088,1082,1082,7100,7700100
2706-T,ブロッコリー,東証JQスタンダード,小売業,308,308,300,302,351000,106544000
2708-T,久世,東証JQスタンダード,卸売業,768,768,748,760,1900,1431600
2710-T,CSロジネット,東証JQスタンダード,卸売業,-,-,-,-,0,0
2712-T,スターバックス,東証JQスタンダード,小売業,88800,89400,88600,89200,885,78774300
2714-T,プラマテルズ,東証JQスタンダード,卸売業,406,406,400,400,900,362100
2715-T,エレマテック,東証1部,卸売業,1330,1330,1305,1321,22200,29316900
2719-T,キタムラ,東証2部,小売業,741,741,724,725,4400,3208400
2721-T,JHD,東証JQスタンダード,卸売業,45000,45000,42600,45000,35,1554600
2722-T,アイケイ,東証JQスタンダード,小売業,802,803,793,798,1200,957900
2724-T,インスパイアー,東証JQグロース,卸売業,330,339,326,328,8114,2679657
2726-T,パル,東証1部,小売業,2998,3055,2981,2994,59700,179522100
2729-T,JALUX,東証1部,卸売業,1006,1010,1000,1005,7500,7543900
2730-T,エディオン,東証1部,小売業,613,615,589,599,1430100,857864600
2733-T,あらた,東証1部,卸売業,369,374,368,370,70000,25873000
2734-T,サーラ,東証1部,小売業,505,507,499,501,10000,5024500
2735-T,ワッツ,東証JQスタンダード,小売業,1212,1215,1190,1191,8600,10349100
2736-T,サダマツ,東証JQスタンダード,小売業,148,149,146,147,40000,5887000
2737-T,トーメンデバ,東証1部,卸売業,1694,1694,1681,1681,4600,7759300
2742-T,ハローズ,東証JQスタンダード,小売業,832,840,828,828,1700,1414500
2743-T,ハイブリッド,東証JQスタンダード,卸売業,24850,24850,24810,24810,6,148960
2747-T,北雄ラッキー,東証JQスタンダード,小売業,-,-,-,-,0,0
2749-T,JPHD,東証1部,サービス業,613,617,588,610,920800,556514800
2750-T,石光商事,東証JQスタンダード,卸売業,331,331,329,329,2000,661400
2751-T,テンポス,東証JQスタンダード,卸売業,291900,291900,275000,286600,207,58864000
2752-T,フジオフード,東証JQスタンダード,小売業,324500,324500,322500,322500,8,2585000
2753-T,あみやき,東証1部,小売業,303000,307000,302000,303500,112,34143000
2754-T,東葛HD,東証JQスタンダード,小売業,258,258,258,258,2000,516000
2759-T,アイフラッグ,東証JQスタンダード,卸売業,5330,5580,5000,5220,3408,17838950
2760-T,東エレデバ,東証1部,卸売業,155900,156500,153400,154200,134,20815000
2761-T,トシンG,東証JQスタンダード,卸売業,2245,2245,2230,2230,1500,3366000
2762-T,三光フーズ,東証2部,小売業,93500,93700,93500,93600,107,10011700
2763-T,エフティコミュ,東証JQスタンダード,卸売業,178100,178200,171200,172800,36,6279600
2764-T,ひらまつ,東証1部,小売業,765,776,752,755,122300,92781200
2766-T,日風開,東証マザーズ,卸売業,67300,68000,66800,66800,520,34935800
2767-T,フィールズ,東証JQスタンダード,卸売業,1645,1663,1630,1663,108800,178632100
2768-T,双日,東証1部,卸売業,180,181,175,177,12402200,2208196800
2769-T,ヴィレッジV,東証JQスタンダード,小売業,142500,147500,142500,145500,1650,238158200
2772-T,ゲンキー,東証1部,小売業,2014,2015,1999,1999,3300,6614500
2773-T,ミューチュアル,東証JQスタンダード,卸売業,480,484,478,480,5500,2643100
2776-T,クリムゾン,東証JQスタンダード,卸売業,13100,13100,12230,12800,173,2200970
2777-T,カッシーナ,東証JQスタンダード,卸売業,666,669,640,641,4600,2974000
2778-T,パレモ,東証JQスタンダード,小売業,313,314,312,313,4200,1314200
2780-T,コメ兵,東証2部,小売業,1661,1688,1650,1658,41400,68858700
2782-T,セリア,東証JQスタンダード,小売業,3470,3470,3120,3190,166800,541230000
2784-T,アルフレッサHD,東証1部,卸売業,5590,5590,5370,5380,163700,888939000
2786-S,サッポロDGS,札証,小売業,-,-,-,-,0,0
2786-T,サッポロDGS,東証JQスタンダード,小売業,3810,3845,3810,3830,1600,6123000
2788-T,アップル,東証マザーズ,卸売業,13000,13550,13000,13550,207,2731110
2789-T,カルラ,東証JQスタンダード,小売業,354,355,351,353,4600,1618000
2790-T,ナフコ,東証JQスタンダード,小売業,1860,1871,1830,1837,4700,8665000
2791-T,大黒天,東証1部,小売業,2850,2850,2805,2838,9600,27236100
2792-T,ハニーズ,東証1部,小売業,1126,1129,1108,1121,130860,146606400
2795-T,プリメックス,東証JQスタンダード,卸売業,532,532,532,532,300,159600
2796-T,ファーマライズ,東証JQスタンダード,小売業,72700,72700,70800,71000,80,5712600
2798-T,Y’S,東証マザーズ,小売業,151500,152100,150500,150500,43,6501500
2799-T,パイオン,東証JQスタンダード,情報・通信業,21360,21480,20500,20710,972,20251800
2801-T,キッコーマン,東証1部,食料品,1834,1848,1780,1784,1063000,1916256000
2802-T,味の素,東証1部,食料品,1422,1423,1382,1389,2693000,3762976000
2804-T,ブルドック,東証2部,食料品,178,179,176,179,26000,4607000
2805-T,エスビー,東証2部,食料品,743,746,743,743,7000,5213000
2806-T,ユタカフーズ,東証2部,食料品,1710,1710,1680,1686,1500,2543500
2809-T,キユーピー,東証1部,食料品,1528,1535,1518,1523,357000,545796000
2810-T,ハウス食,東証1部,食料品,1710,1715,1683,1687,177200,300628100
2811-T,カゴメ,東証1部,食料品,1759,1760,1735,1738,246800,430594700
2812-T,焼津水,東証1部,食料品,853,853,848,848,8600,7320200
2813-T,和弘食,東証JQスタンダード,食料品,217,218,213,213,7000,1519000
2814-T,佐藤食,東証JQスタンダード,食料品,965,967,962,967,1690,1629680
2815-T,アリアケ,東証1部,食料品,2316,2323,2260,2265,88700,202425300
2816-T,ダイショー,東証2部,食料品,865,868,861,867,4900,4237700
2817-T,ギャバン,東証JQスタンダード,食料品,550,550,540,540,3000,1630000
2818-T,ピエトロ,東証2部,食料品,992,995,989,995,1500,1488700
2819-T,エバラ食品,東証JQスタンダード,食料品,1483,1483,1483,1483,1000,1483000
2830-T,アヲハタ,東証2部,食料品,1465,1468,1465,1467,2100,3080200
2831-T,はごろも,東証2部,食料品,1093,1093,1093,1093,1000,1093000
2871-T,ニチレイ,東証1部,食料品,558,559,543,544,1107000,609843000
2872-T,セイヒョー,東証2部,食料品,296,298,293,293,25000,7394000
2874-T,ヨコレイ,東証1部,卸売業,826,826,802,803,136900,110877000
2875-T,東洋水産,東証1部,食料品,3370,3380,3285,3300,409000,1359640000
2876-T,JCコムサ,東証JQスタンダード,食料品,286,286,286,286,2000,572000
2877-T,日東ベスト,東証JQスタンダード,食料品,784,785,779,785,4500,3523200
2882-T,イートアンド,東証2部,食料品,1141,1142,1100,1123,26500,29758300
2892-T,日食品,東証2部,食料品,376,378,376,378,2000,754000
2894-T,石井食,東証2部,食料品,197,197,196,197,3000,590000
2897-T,日清食HD,東証1部,食料品,4250,4265,4170,4180,142500,599146000
2899-T,永谷園,東証1部,食料品,892,892,885,885,11000,9753000
2901-T,石垣食,東証JQスタンダード,食料品,-,-,-,-,0,0
2903-T,シノブフース,東証2部,食料品,414,414,406,406,9000,3689000
2904-T,一正蒲,東証JQスタンダード,食料品,605,605,605,605,2000,1210000
2905-T,オーケー食,東証JQスタンダード,食料品,89,92,86,90,26000,2296000
2907-T,あじかん,東証2部,食料品,741,750,735,735,1800,1331800
2908-T,フジッコ,東証1部,食料品,1149,1157,1147,1152,46000,52917000
2910-T,ロックフィール,東証1部,食料品,1930,1930,1914,1924,16900,32522900
2911-T,旭松食,東証2部,食料品,279,280,279,280,3000,839000
2914-T,JT,東証1部,食料品,3655,3660,3550,3620,5066600,18288783000
2915-T,ケンコーマヨ,東証1部,食料品,845,848,840,842,9700,8175700
2916-T,仙波糖化,東証JQスタンダード,食料品,297,297,297,297,100,29700
2917-T,大森屋,東証JQスタンダード,食料品,907,907,907,907,4000,3628000
2918-T,わらべや,東証1部,食料品,1589,1591,1550,1552,34000,53276500
2919-F,マルタイ,福証,食料品,391,391,391,391,1000,391000
2922-T,なとり,東証1部,食料品,955,956,950,950,8700,8294700
2923-T,サトウ食品,東証2部,食料品,2000,2000,2000,2000,100,200000
2924-F,イフジ産業,福証,食料品,-,-,-,-,0,0
2924-T,イフジ産業,東証2部,食料品,521,523,510,513,9000,4638000
2925-T,ピックルス,東証JQスタンダード,食料品,747,748,729,729,7600,5590000
2926-T,篠崎屋,東証マザーズ,食料品,14000,14000,13400,13880,271,3710280
2927-T,AFC-HD,東証JQスタンダード,食料品,709,712,708,712,6800,4830900
2928-S,健康CP,札証アンビシャス,化学,465,485,455,485,30900,14465700
2929-T,ファーマフーズ,東証マザーズ,食料品,107500,110300,101200,103500,965,101513700
2930-S,北の達人,札証,食料品,1298,1298,1232,1245,3900,4893500
2931-T,ユーグレナ,東証マザーズ,食料品,7800,7830,7300,7490,422600,3181748000
3001-T,片倉,東証1部,繊維製品,1316,1340,1245,1271,67500,87041500
3002-T,グンゼ,東証1部,繊維製品,257,258,250,251,585000,148320000
3003-T,ヒューリック,東証1部,不動産業,1175,1193,1150,1169,2503500,2931527500
3004-T,神栄,東証1部,卸売業,284,292,271,275,1721000,483603000
3010-T,価値開発,東証2部,不動産業,34,34,32,33,1111000,35991000
3011-T,バナーズ,東証2部,小売業,76,76,75,76,156700,11835600
3020-T,アプライド,東証JQスタンダード,小売業,1287,1294,1268,1268,800,1024600
3021-T,PCNET,東証マザーズ,小売業,555,555,490,530,30200,16174500
3022-T,山下医,東証1部,卸売業,1819,1824,1774,1774,6300,11365300
3023-T,ラサ商事,東証1部,卸売業,447,449,442,443,12500,5570200
3024-T,クリエイト,東証JQスタンダード,卸売業,599,599,599,599,1000,599000
3027-T,レデイ薬局,東証JQスタンダード,小売業,460,464,456,456,1700,782500
3028-T,アルペン,東証1部,小売業,2015,2028,1985,1998,160200,320355100
3030-T,ハブ,東証JQスタンダード,小売業,398000,400500,391000,400000,31,12289000
3031-T,ラクーン,東証マザーズ,卸売業,439,440,412,421,28700,12187800
3034-T,クオール,東証1部,小売業,565,565,558,559,189800,106411300
3035-T,KTK,東証JQスタンダード,卸売業,238,238,237,237,1100,261700
3036-T,アルコニックス,東証1部,卸売業,2032,2042,1996,2000,39300,79362100
3037-T,スタイライフ,東証JQグロース,小売業,73600,73600,73600,73600,3,220800
3038-T,神戸物産,東証1部,卸売業,2590,2591,2514,2537,39000,99491700
3039-T,碧,東証TPM,小売業,-,-,-,-,0,0
3040-T,ソリトン,東証JQスタンダード,情報・通信業,1221,1221,1180,1213,1900,2276100
3041-T,ビ花壇,東証マザーズ,卸売業,305,307,302,304,3000,911700
3042-T,セキュアヴェイ,東証JQグロース,卸売業,370,382,360,360,25800,9527000
3043-T,モジュレ,東証JQグロース,卸売業,699,707,695,695,2100,1471200
3045-T,カワサキ,東証2部,卸売業,1392,1398,1371,1398,300,416100
3046-T,JIN,東証1部,小売業,4395,4420,4105,4210,423200,1794385000
3047-F,TRUCKONE,福証QBoard,卸売業,24000,24000,24000,24000,4,96000
3048-T,ビックカメラ,東証1部,小売業,49450,49450,47800,48300,7720,374387100
3050-T,DCM,東証1部,小売業,829,829,801,811,644800,523690600
3053-T,ペッパー,東証マザーズ,卸売業,894,897,890,891,3400,3035800
3054-T,ハイパー,東証JQスタンダード,卸売業,571,573,571,571,700,399900
3055-S,ほくたけ,札証,卸売業,647,648,647,648,200,129500
3058-T,三洋堂HD,東証JQスタンダード,小売業,910,910,900,903,1800,1632100
3059-T,ヒラキ,東証2部,小売業,571,571,567,570,1500,853600
3063-T,jGroup,東証マザーズ,小売業,107100,107600,105500,106500,154,16440300
3064-T,MonotaRO,東証1部,小売業,2753,2788,2656,2679,718100,1933672600
3065-T,ライフフーズ,東証JQスタンダード,小売業,221,221,221,221,4000,884000
3067-T,東京一番,東証マザーズ,小売業,22870,22870,22650,22680,70,1593150
3068-T,WDI,東証JQスタンダード,小売業,652,653,650,650,1300,846600
3069-T,アスラポート,東証JQスタンダード,小売業,305,310,301,303,20300,6223900
3070-T,アマガサ,東証JQグロース,卸売業,698,698,695,695,400,278900
3071-T,ストリーム,東証マザーズ,小売業,46200,46450,46100,46100,6,277150
3073-T,ダイヤD,東証JQスタンダード,小売業,152000,153000,150600,151500,140,21216700
3075-T,銚子丸,東証JQスタンダード,小売業,3030,3040,3015,3015,2000,6052500
3076-T,あいHD,東証1部,卸売業,862,884,855,860,415300,358877500
3077-T,ホリイフード,東証JQスタンダード,小売業,550,550,525,542,7700,4129800
3079-T,DVx,東証JQスタンダード,卸売業,1797,1797,1730,1735,5400,9497600
3080-T,ジェーソン,東証JQスタンダード,小売業,239,239,225,226,33000,7583400
3082-T,きちり,東証2部,小売業,840,845,835,838,5400,4531200
3083-T,シーズメン,東証JQスタンダード,小売業,101500,105000,96200,102000,119,12101300
3085-T,ALサービス,東証JQスタンダード,小売業,2099,2099,2021,2035,7700,15762400
3086-T,Jフロント,東証1部,小売業,880,898,853,891,9866000,8705700000
3087-T,ドトル日レス,東証1部,小売業,1632,1660,1605,1613,259400,421878400
3088-T,マツモトキヨシ,東証1部,小売業,3130,3165,3055,3065,233000,720068500
3089-T,テクノアルファ,東証JQスタンダード,卸売業,1227,1230,1225,1226,2100,2576500
3090-T,ミネルヴァHD,東証JQグロース,小売業,72500,72500,69900,69900,8,562100
3091-T,ブロンコB,東証1部,小売業,1800,1800,1767,1775,32900,58730600
3092-T,スタートトゥ,東証1部,小売業,2124,2233,2124,2180,1946900,4257550900
3093-T,トレファク,東証マザーズ,小売業,1424,1424,1401,1401,3800,5355300
3094-T,スーパーV,東証JQスタンダード,小売業,1439,1439,1421,1421,200,286000
3096-T,オーシャン,東証JQスタンダード,小売業,770,770,763,763,4700,3600000
3097-T,物語コーポ,東証1部,小売業,4070,4075,3835,3965,19600,77579000
3098-T,ココカラファイン,東証1部,小売業,3390,3400,3300,3320,64400,215485500
3099-F,ミツコシイセタン,福証,小売業,-,-,-,-,0,0
3099-T,ミツコシイセタン,東証1部,小売業,1516,1539,1474,1505,2239100,3375690800
3101-T,東洋紡,東証1部,繊維製品,168,168,162,164,4362000,718238000
3103-T,ユニチカ,東証1部,繊維製品,55,56,53,53,11891000,645177000
3104-T,富士紡HD,東証1部,繊維製品,254,254,245,247,766000,191122000
3105-F,日清紡HD,福証,繊維製品,-,-,-,-,0,0
3105-S,日清紡HD,札証,繊維製品,-,-,-,-,0,0
3105-T,日清紡HD,東証1部,繊維製品,833,834,802,808,834000,679285000
3106-T,クラボウ,東証1部,繊維製品,175,175,168,168,585000,99448000
3107-T,ダイワボHD,東証1部,卸売業,166,167,163,164,946000,155860000
3109-T,シキボウ,東証1部,繊維製品,120,121,117,118,568000,67536000
3110-T,日東紡,東証1部,ガラス土石,384,386,369,372,805000,301951000
3111-T,オーミケンシ,東証2部,繊維製品,57,57,55,56,192000,10806000
3113-T,Oak,東証2部,証券商品先物,205,227,185,205,18241300,3780396100
3116-T,トヨタ紡織,東証1部,輸送用機器,1548,1569,1525,1540,530600,819438700
3121-T,マーチャント,東証2部,サービス業,109,110,105,105,47000,5032300
3123-T,サイボー,東証2部,繊維製品,503,504,497,501,1700,850500
3125-T,内外綿,東証2部,繊維製品,81,82,81,81,8000,649000
3140-T,イデアインター,東証JQグロース,卸売業,-,-,-,-,0,0
3141-T,ウエルシアHD,東証1部,小売業,5290,5330,5180,5290,48000,253395000
3143-T,オーウイル,東証JQスタンダード,卸売業,695,701,690,694,3400,2358900
3147-T,リック,東証JQスタンダード,小売業,431,433,428,433,7300,3136900
3148-T,クリエイトSDH,東証1部,小売業,3940,3975,3830,3845,22700,88004000
3150-T,グリムス,東証JQスタンダード,卸売業,900,910,900,905,4800,4342900
3151-T,バイタルKSK,東証1部,卸売業,800,800,780,785,19400,15389300
3153-T,八洲電機,東証1部,卸売業,415,416,413,416,16500,6842600
3154-T,メディアスHD,東証JQスタンダード,卸売業,2810,2810,2745,2790,1800,5042500
3156-T,UKCHD,東証1部,卸売業,1826,1838,1775,1794,87900,158467600
3157-T,ジューテックH,東証JQスタンダード,卸売業,522,525,511,520,6500,3377900
3159-T,丸善CHI,東証1部,小売業,315,315,301,306,185800,57258700
3160-T,大光,東証JQスタンダード,卸売業,538,541,535,537,11500,6188400
3161-T,アゼアス,東証2部,卸売業,379,379,372,373,7100,2652100
3163-F,トータルメディ,福証,小売業,-,-,-,-,0,0
3163-T,トータルメディ,東証JQスタンダード,小売業,1130,1130,1042,1055,5200,5566700
3165-T,フーマイエレ,東証JQスタンダード,卸売業,903,904,895,901,7100,6396900
3166-F,オチHD,福証,卸売業,709,709,709,709,200,141800
3167-T,TOKAIHD,東証1部,卸売業,335,336,333,334,206500,69087600
3168-T,クロタニ,東証2部,卸売業,673,699,672,696,25900,17836800
3169-T,ミサワ,東証マザーズ,小売業,1098,1100,1088,1093,10700,11728600
3170-T,アイセイ薬局,東証JQスタンダード,小売業,1832,1845,1801,1801,5400,9824400
3171-T,MV九州,東証JQスタンダード,小売業,1303,1305,1296,1302,5100,6638800
3172-T,ティーライフ,東証JQスタンダード,小売業,692,694,690,691,32400,22391400
3173-T,大阪工機,東証JQスタンダード,卸売業,616,617,602,611,3600,2203900
3174-T,ハピネス&D,東証JQスタンダード,小売業,2468,2469,2460,2460,4100,10102400
3175-T,APC,東証マザーズ,小売業,2423,2470,2300,2390,11800,28130600
3176-T,三洋貿易,東証2部,卸売業,797,798,786,790,42500,33756800
3177-T,ありがと,東証JQスタンダード,小売業,1729,1730,1729,1730,1000,1729600
3178-T,チムニー,東証2部,小売業,956,956,948,955,26500,25238800
3179-T,シュッピン,東証マザーズ,小売業,896,896,826,872,44800,38503200
3180-T,Bガレージ,東証マザーズ,卸売業,3155,3155,3065,3100,2700,8394000
3181-T,買取王国,東証JQスタンダード,小売業,1521,1547,1465,1499,25300,38129800
3182-T,オイシックス,東証マザーズ,小売業,4220,4250,4055,4145,59500,247951000
3183-T,ウインパートナ,東証JQスタンダード,卸売業,940,950,906,920,8600,7947700
3184-T,ICDA,東証JQスタンダード,小売業,1880,1890,1805,1830,20000,36701100
3185-T,夢展望,東証マザーズ,小売業,3580,3580,2930,3160,223900,708800800
3201-T,ニッケ,東証1部,繊維製品,800,800,776,776,51000,39919000
3202-T,大東紡,東証1部,繊維製品,70,70,68,69,232000,16079000
3204-T,トーア紡,東証1部,繊維製品,70,71,69,69,209000,14604000
3205-T,ダイドリミ,東証1部,繊維製品,694,695,690,690,26300,18191400
3209-T,カネヨウ,東証2部,卸売業,52,53,52,53,26000,1361000
3225-T,東建不販,東証1部,不動産業,481,483,456,472,75200,35543700
3226-T,アコモF,東証,その他,670000,673000,663000,666000,402,268482000
3227-T,MID,東証,その他,228600,229600,227000,227100,624,142283500
3228-T,三栄建築,東証1部,不動産業,905,911,870,886,123000,109578600
3230-T,スター･マイカ,東証JQスタンダード,不動産業,1448,1448,1393,1426,15400,21900700
3231-T,野村不HD,東証1部,不動産業,2425,2445,2379,2403,1080000,2601105600
3234-T,森ヒルズ,東証,その他,627000,627000,613000,614000,416,257657000
3236-T,プロパスト,東証JQスタンダード,不動産業,5330,5440,4815,5050,70714,362014135
3237-T,イントランス,東証マザーズ,不動産業,51000,52400,48100,49900,64,3179700
3238-T,セントラル総,東証2部,不動産業,350,350,330,333,14700,4990400
3240-T,野村レジ,東証,その他,493500,494500,487000,488000,591,289688500
3241-T,ウィル,東証JQスタンダード,不動産業,308,308,295,302,25200,7583600
3242-T,アーバネット,東証JQスタンダード,不動産業,364,364,322,343,117100,40875600
3243-F,ダイヨシトラス,福証QBoard,不動産業,-,-,-,-,0,0
3244-T,サムティ,東証JQスタンダード,不動産業,108000,108500,99500,102700,1131,117512500
3245-T,ディア･ライフ,東証マザーズ,不動産業,550,556,540,541,11600,6329400
3246-F,コーセーアールイ,福証,不動産業,-,-,-,-,0,0
3246-T,コーセーアールイ,東証JQスタンダード,不動産業,490,490,476,476,2000,965700
3248-T,アールエイジ,東証マザーズ,不動産業,715,715,689,695,13000,9037400
3249-T,産業ファ,東証,その他,965000,970000,944000,945000,226,215717000
3250-T,ADワークス,東証JQスタンダード,不動産業,5880,5880,5120,5500,26491,144551890
3251-T,PMO,東証マザーズ,不動産業,238,240,210,225,39200,8968800
3254-T,プレサンス,東証2部,不動産業,3340,3340,3200,3240,21400,69807500
3258-T,常和HD,東証1部,不動産業,2648,2683,2615,2638,92100,244153100
3261-F,グランディー,福証QBoard,不動産業,1230,1230,1230,1230,800,984000
3263-T,ハウスリート,東証,その他,710000,720000,699000,701000,281,198449000
3264-T,アスコット,東証JQスタンダード,不動産業,172,175,162,167,234400,39236200
3266-T,ファンドクリG,東証JQスタンダード,不動産業,113,114,105,109,687700,74900300
3268-T,一建設,東証JQスタンダード,不動産業,6020,6020,5960,6000,60500,362721000
3269-T,ADR,東証,その他,220600,220600,215100,217200,3841,833710500
3271-T,グロバル社,東証2部,不動産業,637,649,615,630,40000,25281600
3274-T,アイディホーム,東証JQスタンダード,不動産業,4915,4915,4800,4825,24400,119257000
3275-T,ハウスコム,東証JQスタンダード,不動産業,823,823,805,805,1400,1136800
3276-T,日本管理,東証2部,不動産業,950,953,911,918,41800,38719000
3277-T,サンセイランデ,東証JQスタンダード,不動産業,445,448,421,441,24500,10598200
3278-T,KDR,東証,その他,222100,225500,221900,225400,2186,488703900
3279-T,API,東証,その他,760000,760000,738000,750000,450,336685000
3280-T,エストラスト,東証マザーズ,不動産業,789,789,748,749,28700,21912800
3281-T,GLP,東証,その他,95200,95200,93200,93600,3526,331602500
3282-T,コンフォリア,東証,その他,713000,713000,703000,706000,167,117913000
3283-T,プロロジス,東証,その他,860000,860000,839000,839000,1348,1139521000
3284-T,フージャース,東証1部,不動産業,904,908,851,858,478000,417138600
3285-T,NMF,東証,その他,99000,99200,98300,99200,18390,1817560200
3286-F,トラストHD,福証QBoard,不動産業,-,-,-,-,0,0
3286-T,トラストHD,東証マザーズ,不動産業,633,656,622,629,23100,14789400
3287-T,星野RR,東証,その他,600000,609000,587000,606000,1268,757176000
3302-T,帝繊維,東証1部,繊維製品,791,797,789,790,28000,22179000
3306-T,日本麻,東証2部,卸売業,36,37,36,36,349000,12571000
3313-T,ブックオフ,東証1部,小売業,697,699,690,690,36900,25632800
3315-T,日本コークス,東証1部,石油石炭製品,116,117,111,112,1944500,220983500
3316-T,東日システム,東証JQスタンダード,卸売業,119500,120500,119400,119500,15,1796900
3317-T,フライングG,東証JQスタンダード,小売業,619,624,619,624,700,434400
33189-T,メガネスーパW,東証JQスタンダード,小売業,2,3,1,1,2354100,4866600
3318-T,メガネスーパ,東証JQスタンダード,小売業,81,81,78,79,747700,59620100
3319-T,GDO,東証マザーズ,小売業,200,209,174,180,561000,105544800
3320-T,クロスプラス,東証2部,卸売業,917,919,916,916,2300,2108700
3321-T,ミタチ,東証1部,卸売業,421,421,406,407,41500,17119900
3322-T,アルファG,東証JQスタンダード,卸売業,-,-,-,-,0,0
3323-T,レカム,東証JQスタンダード,卸売業,2997,2997,2720,2798,8415,24405230
3325-T,ケンコーコム,東証マザーズ,小売業,218000,220000,211100,216000,415,89790900
3326-T,ランシステム,東証JQスタンダード,小売業,630,630,615,630,2200,1363600
3328-T,ネットプライス,東証マザーズ,小売業,66000,66000,58100,61100,1718,107317500
3329-T,東和フード,東証JQスタンダード,小売業,2390,2400,2341,2341,2500,5918100
3331-T,雑貨屋BL,東証JQスタンダード,小売業,291,295,284,284,63000,18090300
3333-T,あさひ,東証1部,小売業,1634,1670,1581,1611,166800,270662900
3341-T,日本調剤,東証1部,小売業,2830,2838,2748,2784,12590,35238320
3344-T,ワンダーCO.,東証JQスタンダード,小売業,91000,91000,90100,90100,43,3902700
3347-T,トラスト,東証マザーズ,小売業,21500,22130,21220,21220,222,4775510
3349-T,コスモス薬品,東証1部,小売業,10390,10560,10140,10200,68800,709250000
3350-T,フォンツHD,東証JQスタンダード,卸売業,154,160,139,143,1217800,179727100
3352-T,バッファロー,東証JQスタンダード,小売業,84400,84400,84300,84300,12,1011800
3353-T,メディ一光,東証JQスタンダード,小売業,2740,2740,2740,2740,100,274000
3355-T,クリヤマHD,東証2部,卸売業,1178,1182,1142,1150,12500,14493800
3356-T,テリロジー,東証JQスタンダード,卸売業,13080,13080,11280,13080,12286,159656910
3358-T,ワイエスフード,東証JQスタンダード,小売業,17800,17800,17500,17500,67,1175500
3359-F,タイセイ,福証QBoard,卸売業,1038,1085,994,999,13100,13344300
3360-T,シップHD,東証1部,卸売業,3725,3780,3700,3765,207700,780072500
3361-T,トーエル,東証2部,小売業,490,490,481,489,27500,13302400
3366-T,一六堂,東証1部,小売業,537,537,526,528,33200,17603100
3370-T,フジタコーポ,東証JQスタンダード,小売業,57000,57000,55000,55000,8,454000
3371-T,ソフトクリエHD,東証1部,情報・通信業,715,719,704,706,21600,15368200
3372-T,関門海,東証マザーズ,小売業,10620,10790,10450,10450,166,1756470
3374-T,内外テック,東証JQスタンダード,卸売業,152,152,150,150,6000,904000
3375-T,ZOA,東証JQスタンダード,小売業,55000,55000,55000,55000,1,55000
3376-T,オンリー,東証JQスタンダード,小売業,91000,91200,90000,90700,149,13507000
3377-T,バイク王,東証2部,卸売業,250,252,245,246,20500,5090800
3382-T,7&I-HD,東証1部,小売業,3995,4010,3895,3940,3367000,13315296500
3385-T,薬王堂,東証JQスタンダード,小売業,2534,2555,2431,2477,10100,25312500
3386-T,コスモ･バイオ,東証JQスタンダード,卸売業,3300,3490,3235,3350,239500,803508500
3387-T,クリレスHD,東証マザーズ,小売業,3200,3200,3135,3145,25200,79776500
3388-T,明治電機,東証JQスタンダード,卸売業,555,556,552,552,1500,829600
3390-T,USシステムズ,東証JQスタンダード,卸売業,2960,3240,2745,2955,29515,86182864
3391-T,ツルハHD,東証1部,小売業,9890,9920,9740,9770,76500,752928000
3392-T,デリカフーズ,東証2部,卸売業,472,472,468,469,4600,2162600
